dataset_id,crop,name,doi,country,field_controlled,expected_images,extracted_images,classes,license,local_archive,extracted_dir,sha256,sha256_verified,recommended_role
cotton_original,Cotton,Cotton Leaf Image Dataset for Disease Classification (Original),10.17632/t9hgvk2h9p.1,Regional Fields,Real field,1373,1373,"Alternaria Leaf Spot, Bacterial Blight, Fusarium Wilt, Verticillium Wilt, Healthy Leaf",CC BY 4.0,data\raw\Cotton_Original_Dataset.zip,data\raw\cotton\cotton_original,f1c666c029d7284e86f79597154bfb5270efd79d4fd352a7b2803ccdd1bbc4c3,True,Train / Val / Test (In-Domain)
tomato_pakistan,Tomato,Tomato Leaf Disease Classification Dataset in Pakistan,10.17632/3mbnb82mxd.2,Pakistan,Real field (smartphones),7200,16059,"Early Blight, Late Blight, Septoria Leaf Spot, Leaf Mold, Yellow Leaf Curl Virus, Healthy",CC BY 4.0,data\raw\Tomato_Leaf_Disease_Dataset_Pakistan.zip,data\raw\tomato\tomato_pakistan,2a2b36a8f972337f6d0e95e436835e55ffee5291fa07277157b40f0441f42f50,True,Train / Val / Test (In-Domain)
wheat_disease_main,Wheat,"Disease Dataset of Wheat: Original, Augmented, and Balanced",10.17632/5gc7hwydwg.1,Bangladesh,Real field,1603,23206,"Black Point, Fusarium Foot Rot, Healthy Leaf, Leaf Blight, Wheat Blast",CC BY 4.0,data\raw\Wheat_Disease.zip,data\raw\wheat\wheat_disease_main,bb21be5d9dbfb9a543231fb9e3882901248b8c9cd3201a98169eb364e9278196,True,Train / Val / Test (In-Domain)
